,Accuracy,Shape
185,"(0.7823275862068966, 0.4093567251461988, 0.33094265457166355)","(0.1330049261083744, 3.0963139120095127, 0.12566137566137567)"
186,"(0.7844827586206896, 0.4186046511627907, 0.3398032175585501)","(0.1354679802955665, 3.1296076099881094, 0.12301587301587301)"
187,"(0.7844827586206896, 0.4186046511627907, 0.3398032175585501)","(0.1354679802955665, 3.1296076099881094, 0.12301587301587301)"
188,"(0.7844827586206896, 0.4186046511627907, 0.3398032175585501)","(0.1354679802955665, 3.1296076099881094, 0.12301587301587301)"
189,"(0.7844827586206896, 0.4186046511627907, 0.3398032175585501)","(0.1354679802955665, 3.1296076099881094, 0.12301587301587301)"
190,"(0.7844827586206896, 0.4186046511627907, 0.3398032175585501)","(0.1354679802955665, 3.1296076099881094, 0.12301587301587301)"
191,"(0.7844827586206896, 0.4186046511627907, 0.3398032175585501)","(0.1354679802955665, 3.1296076099881094, 0.12301587301587301)"
192,"(0.7844827586206896, 0.4186046511627907, 0.3398032175585501)","(0.1354679802955665, 3.1296076099881094, 0.12301587301587301)"
193,"(0.7844827586206896, 0.4186046511627907, 0.3398032175585501)","(0.1354679802955665, 3.1296076099881094, 0.12301587301587301)"
194,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
195,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
196,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
197,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
198,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
199,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
200,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
201,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
202,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
203,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
204,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
205,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
206,"(0.7823275862068966, 0.4161849710982659, 0.3333265027767758)","(0.13793103448275862, 2.6706302021403094, 0.12037037037037036)"
207,"(0.7844827586206896, 0.42528735632183906, 0.34210201719950006)","(0.14039408866995073, 2.684898929845422, 0.11772486772486772)"
208,"(0.7844827586206896, 0.42528735632183906, 0.34210201719950006)","(0.14039408866995073, 2.684898929845422, 0.11772486772486772)"
209,"(0.7823275862068966, 0.4228571428571429, 0.3357734420505226)","(0.14285714285714285, 2.9655172413793105, 0.15343915343915343)"
210,"(0.7823275862068966, 0.4228571428571429, 0.3357734420505226)","(0.14285714285714285, 2.9655172413793105, 0.15343915343915343)"
211,"(0.7823275862068966, 0.4228571428571429, 0.3357734420505226)","(0.14285714285714285, 2.9655172413793105, 0.15343915343915343)"
212,"(0.7823275862068966, 0.4228571428571429, 0.3357734420505226)","(0.14285714285714285, 2.9655172413793105, 0.15343915343915343)"
213,"(0.7823275862068966, 0.4228571428571429, 0.3357734420505226)","(0.14285714285714285, 2.9655172413793105, 0.15343915343915343)"
214,"(0.7823275862068966, 0.4228571428571429, 0.3357734420505226)","(0.14285714285714285, 2.9655172413793105, 0.15343915343915343)"
215,"(0.7823275862068966, 0.4228571428571429, 0.3357734420505226)","(0.14285714285714285, 2.9655172413793105, 0.15343915343915343)"
216,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
217,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
218,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
219,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
220,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
221,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
222,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
223,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
224,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
225,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
226,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
227,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
228,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
229,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
230,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
231,"(0.7844827586206896, 0.4318181818181818, 0.34446734649141236)","(0.14532019704433496, 3.167657550535077, 0.15079365079365079)"
232,"(0.7866379310344828, 0.4406779661016949, 0.35306849883830455)","(0.1477832512315271, 3.2913198573127227, 0.14814814814814814)"
233,"(0.7866379310344828, 0.4406779661016949, 0.35306849883830455)","(0.1477832512315271, 3.2913198573127227, 0.14814814814814814)"
234,"(0.7866379310344828, 0.4406779661016949, 0.35306849883830455)","(0.1477832512315271, 3.2913198573127227, 0.14814814814814814)"
235,"(0.7866379310344828, 0.4406779661016949, 0.35306849883830455)","(0.1477832512315271, 3.2913198573127227, 0.14814814814814814)"
236,"(0.7866379310344828, 0.4406779661016949, 0.35306849883830455)","(0.1477832512315271, 3.2913198573127227, 0.14814814814814814)"
237,"(0.7866379310344828, 0.4406779661016949, 0.35306849883830455)","(0.1477832512315271, 3.2913198573127227, 0.14814814814814814)"
238,"(0.7866379310344828, 0.4406779661016949, 0.35306849883830455)","(0.1477832512315271, 3.2913198573127227, 0.14814814814814814)"
239,"(0.7866379310344828, 0.4406779661016949, 0.35306849883830455)","(0.1477832512315271, 3.2913198573127227, 0.14814814814814814)"
240,"(0.7866379310344828, 0.4406779661016949, 0.35306849883830455)","(0.1477832512315271, 3.2913198573127227, 0.14814814814814814)"
241,"(0.7866379310344828, 0.4406779661016949, 0.35306849883830455)","(0.1477832512315271, 3.2913198573127227, 0.14814814814814814)"
