,Accuracy,Shape
315,"(0.7758620689655172, 0.4090909090909091, 0.3146727992322055)","(0.14532019704433496, 5.167657550535076, 0.2275132275132275)"
316,"(0.7758620689655172, 0.4090909090909091, 0.3146727992322055)","(0.14532019704433496, 5.167657550535076, 0.2275132275132275)"
317,"(0.7758620689655172, 0.4090909090909091, 0.3146727992322055)","(0.14532019704433496, 5.167657550535076, 0.2275132275132275)"
318,"(0.7758620689655172, 0.4090909090909091, 0.3146727992322055)","(0.14532019704433496, 5.167657550535076, 0.2275132275132275)"
319,"(0.7758620689655172, 0.4090909090909091, 0.3146727992322055)","(0.14532019704433496, 5.167657550535076, 0.2275132275132275)"
320,"(0.7758620689655172, 0.4090909090909091, 0.3146727992322055)","(0.14532019704433496, 5.167657550535076, 0.2275132275132275)"
321,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
322,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
323,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
324,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
325,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
326,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
327,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
328,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
329,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
330,"(0.7758620689655172, 0.4157303370786517, 0.3175185638471132)","(0.15024630541871922, 5.819262782401904, 0.2605820105820106)"
331,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
332,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
333,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
334,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
335,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
336,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
337,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
338,"(0.7758620689655172, 0.4157303370786517, 0.3175185638471132)","(0.15024630541871922, 5.336504161712248, 0.2222222222222222)"
339,"(0.7737068965517241, 0.4067796610169492, 0.30869585976436814)","(0.1477832512315271, 5.360285374554102, 0.22486772486772486)"
340,"(0.7758620689655172, 0.4157303370786517, 0.3175185638471132)","(0.15024630541871922, 5.336504161712248, 0.2222222222222222)"
341,"(0.7758620689655172, 0.4157303370786517, 0.3175185638471132)","(0.15024630541871922, 5.336504161712248, 0.2222222222222222)"
342,"(0.7758620689655172, 0.4157303370786517, 0.3175185638471132)","(0.15024630541871922, 5.336504161712248, 0.2222222222222222)"
343,"(0.7780172413793104, 0.4245810055865922, 0.32624745071482597)","(0.15270935960591134, 5.785969084423306, 0.25793650793650796)"
344,"(0.7780172413793104, 0.4245810055865922, 0.32624745071482597)","(0.15270935960591134, 5.785969084423306, 0.25793650793650796)"
345,"(0.7780172413793104, 0.4245810055865922, 0.32624745071482597)","(0.15270935960591134, 5.785969084423306, 0.25793650793650796)"
346,"(0.7780172413793104, 0.4245810055865922, 0.32624745071482597)","(0.15270935960591134, 5.785969084423306, 0.25793650793650796)"
347,"(0.7780172413793104, 0.4245810055865922, 0.32624745071482597)","(0.15270935960591134, 5.785969084423306, 0.25793650793650796)"
348,"(0.7780172413793104, 0.4245810055865922, 0.32624745071482597)","(0.15270935960591134, 5.785969084423306, 0.25793650793650796)"
349,"(0.7780172413793104, 0.4245810055865922, 0.32624745071482597)","(0.15270935960591134, 5.785969084423306, 0.25793650793650796)"
350,"(0.7780172413793104, 0.4245810055865922, 0.32624745071482597)","(0.15270935960591134, 5.785969084423306, 0.25793650793650796)"
351,"(0.7801724137931034, 0.42696629213483145, 0.33220589448464294)","(0.15024630541871922, 5.543400713436386, 0.2605820105820106)"
352,"(0.7801724137931034, 0.42696629213483145, 0.33220589448464294)","(0.15024630541871922, 5.543400713436386, 0.2605820105820106)"
353,"(0.7801724137931034, 0.42696629213483145, 0.33220589448464294)","(0.15024630541871922, 5.543400713436386, 0.2605820105820106)"
354,"(0.7801724137931034, 0.42696629213483145, 0.33220589448464294)","(0.15024630541871922, 5.543400713436386, 0.2605820105820106)"
355,"(0.7801724137931034, 0.42696629213483145, 0.33220589448464294)","(0.15024630541871922, 5.543400713436386, 0.2605820105820106)"
