,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
6,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
7,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
8,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
9,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
10,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.11890606420927477, 0.03306878306878307)"
11,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.11890606420927477, 0.03306878306878307)"
12,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.11890606420927477, 0.03306878306878307)"
13,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.2330558858501781, 0.06878306878306878)"
14,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.2330558858501781, 0.06878306878306878)"
15,"(0.7521551724137931, 0.049586776859504134, 0.10690681508356913)","(0.009852216748768473, 0.33769322235434035, 0.06613756613756613)"
16,"(0.7521551724137931, 0.049586776859504134, 0.10690681508356913)","(0.009852216748768473, 0.33769322235434035, 0.06613756613756613)"
17,"(0.7521551724137931, 0.049586776859504134, 0.10690681508356913)","(0.009852216748768473, 0.33769322235434035, 0.06613756613756613)"
18,"(0.7521551724137931, 0.049586776859504134, 0.10690681508356913)","(0.009852216748768473, 0.33769322235434035, 0.06613756613756613)"
19,"(0.7543103448275862, 0.06557377049180328, 0.13167294143317337)","(0.012315270935960592, 0.3638525564803807, 0.06349206349206349)"
