,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
6,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
7,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
8,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
9,"(0.7521551724137931, 0.03361344537815126, 0.11330936783431826)","(0.0049261083743842365, 0.11890606420927476, 0.03306878306878307)"
10,"(0.7521551724137931, 0.03361344537815126, 0.11330936783431826)","(0.0049261083743842365, 0.11890606420927476, 0.03306878306878307)"
11,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.23305588585017814, 0.06878306878306878)"
12,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.23305588585017814, 0.06878306878306878)"
13,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.23305588585017814, 0.06878306878306878)"
14,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.23305588585017814, 0.06878306878306878)"
15,"(0.7521551724137931, 0.049586776859504134, 0.10690681508356913)","(0.009852216748768473, 0.3376932223543404, 0.06613756613756613)"
16,"(0.7543103448275862, 0.06557377049180328, 0.13167294143317337)","(0.012315270935960592, 0.43281807372175995, 0.06349206349206349)"
17,"(0.7543103448275862, 0.06557377049180328, 0.13167294143317337)","(0.012315270935960592, 0.43281807372175995, 0.06349206349206349)"
18,"(0.7521551724137931, 0.06504065040650407, 0.10925461132470951)","(0.014778325123152709, 0.44946492271105853, 0.06084656084656084)"
19,"(0.75, 0.06451612903225806, 0.09099425383607244)","(0.017241379310344827, 0.456599286563615, 0.0582010582010582)"
