,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
6,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
7,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
8,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
9,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
10,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
11,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
12,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
13,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
14,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
15,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
16,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
17,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.23305588585017822, 0.06878306878306878)"
18,"(0.7521551724137931, 0.049586776859504134, 0.10690681508356913)","(0.009852216748768473, 0.2687277051129607, 0.06613756613756613)"
19,"(0.7521551724137931, 0.049586776859504134, 0.10690681508356913)","(0.009852216748768473, 0.2687277051129607, 0.06613756613756613)"
