,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
6,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
7,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
8,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
9,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
10,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.18787158145065389, 0.07142857142857142)"
11,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.18787158145065389, 0.07142857142857142)"
12,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.18787158145065389, 0.07142857142857142)"
13,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.18787158145065389, 0.07142857142857142)"
14,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.18787158145065389, 0.07142857142857142)"
15,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.18787158145065389, 0.07142857142857142)"
16,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.18787158145065389, 0.07142857142857142)"
17,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.18787158145065389, 0.07142857142857142)"
18,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.37098692033293684, 0.10714285714285714)"
19,"(0.7521551724137931, 0.049586776859504134, 0.10690681508356913)","(0.009852216748768473, 0.40665873959571974, 0.10449735449735449)"
20,"(0.7564655172413793, 0.08130081300813008, 0.15318367515024264)","(0.014778325123152709, 0.5873959571938168, 0.0992063492063492)"
