,Accuracy,Shape
0,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
6,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
7,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
8,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
9,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
10,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
11,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
12,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
13,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
14,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
15,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
16,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
17,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
18,"(0.8505747126436781, 0.0, -0.01993692464720148)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
19,"(0.8528735632183908, 0.030303030303030304, 0.06770215420672739)","(0.0049261083743842365, 0.18787158145065386, 0.07142857142857142)"
20,"(0.8528735632183908, 0.030303030303030304, 0.06770215420672739)","(0.0049261083743842365, 0.18787158145065386, 0.07142857142857142)"
21,"(0.8528735632183908, 0.030303030303030304, 0.06770215420672739)","(0.0049261083743842365, 0.18787158145065386, 0.07142857142857142)"
22,"(0.8528735632183908, 0.030303030303030304, 0.06770215420672739)","(0.0049261083743842365, 0.18787158145065386, 0.07142857142857142)"
