,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
6,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
7,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
8,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
9,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
10,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
11,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
12,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
13,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
14,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
15,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
16,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
17,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
18,"(0.7521551724137931, 0.03361344537815126, 0.11330936783431826)","(0.0049261083743842365, 0.11890606420927478, 0.03306878306878307)"
19,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.16409036860879894, 0.03042328042328042)"
20,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.16409036860879894, 0.03042328042328042)"
21,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.16409036860879894, 0.03042328042328042)"
22,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.16409036860879894, 0.03042328042328042)"
