,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
6,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.11890606420927465, 0.03306878306878307)"
7,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.11890606420927465, 0.03306878306878307)"
8,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.11890606420927465, 0.03306878306878307)"
9,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.11890606420927465, 0.03306878306878307)"
10,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.11890606420927465, 0.03306878306878307)"
11,"(0.7478448275862069, 0.01680672268907563, 0.03755209596814582)","(0.0049261083743842365, 0.11890606420927465, 0.03306878306878307)"
12,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.23305588585017825, 0.06878306878306878)"
13,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.23305588585017825, 0.06878306878306878)"
14,"(0.7456896551724138, 0.016666666666666666, 0.015080289718385523)","(0.007389162561576354, 0.23305588585017825, 0.06878306878306878)"
15,"(0.7456896551724138, 0.03278688524590164, 0.035534082542547966)","(0.012315270935960592, 0.43281807372175995, 0.10185185185185185)"
16,"(0.7456896551724138, 0.03278688524590164, 0.035534082542547966)","(0.012315270935960592, 0.43281807372175995, 0.10185185185185185)"
17,"(0.7456896551724138, 0.03278688524590164, 0.035534082542547966)","(0.012315270935960592, 0.43281807372175995, 0.10185185185185185)"
18,"(0.7456896551724138, 0.03278688524590164, 0.035534082542547966)","(0.012315270935960592, 0.43281807372175995, 0.10185185185185185)"
