,Accuracy,Shape
62,"(0.8666666666666667, 0.2564102564102564, 0.2919714089899543)","(0.034482758620689655, 0.7919143876337692, 0.07804232804232804)"
63,"(0.8689655172413793, 0.27848101265822783, 0.3127405697046045)","(0.03694581280788178, 0.9988109393579073, 0.07539682539682539)"
64,"(0.871264367816092, 0.3, 0.332576481912219)","(0.03940886699507389, 0.9203329369797861, 0.07275132275132275)"
65,"(0.8735632183908046, 0.32098765432098764, 0.3515940105738722)","(0.04187192118226601, 0.9013079667063015, 0.0701058201058201)"
66,"(0.8735632183908046, 0.32098765432098764, 0.3515940105738722)","(0.04187192118226601, 0.9013079667063015, 0.0701058201058201)"
67,"(0.8735632183908046, 0.32098765432098764, 0.3515940105738722)","(0.04187192118226601, 0.9013079667063015, 0.0701058201058201)"
68,"(0.8735632183908046, 0.32098765432098764, 0.3515940105738722)","(0.04187192118226601, 0.9013079667063015, 0.0701058201058201)"
69,"(0.871264367816092, 0.3170731707317073, 0.3373034048532682)","(0.04433497536945813, 1.0796670630202139, 0.10582010582010581)"
70,"(0.871264367816092, 0.3170731707317073, 0.3373034048532682)","(0.04433497536945813, 1.0796670630202139, 0.10582010582010581)"
71,"(0.871264367816092, 0.3170731707317073, 0.3373034048532682)","(0.04433497536945813, 1.0796670630202139, 0.10582010582010581)"
72,"(0.871264367816092, 0.3170731707317073, 0.3373034048532682)","(0.04433497536945813, 1.0796670630202139, 0.10582010582010581)"
73,"(0.871264367816092, 0.3170731707317073, 0.3373034048532682)","(0.04433497536945813, 1.0796670630202139, 0.10582010582010581)"
74,"(0.871264367816092, 0.3170731707317073, 0.3373034048532682)","(0.04433497536945813, 1.0796670630202139, 0.10582010582010581)"
75,"(0.871264367816092, 0.3170731707317073, 0.3373034048532682)","(0.04433497536945813, 1.0796670630202139, 0.10582010582010581)"
76,"(0.871264367816092, 0.3170731707317073, 0.3373034048532682)","(0.04433497536945813, 1.0796670630202139, 0.10582010582010581)"
77,"(0.8689655172413793, 0.2962962962962963, 0.31810520072065684)","(0.04187192118226601, 0.9013079667063015, 0.10846560846560846)"
78,"(0.8689655172413793, 0.2962962962962963, 0.31810520072065684)","(0.04187192118226601, 0.9013079667063015, 0.10846560846560846)"
79,"(0.8666666666666667, 0.2926829268292683, 0.3047191318994215)","(0.04433497536945813, 1.079667063020214, 0.10582010582010581)"
80,"(0.8666666666666667, 0.2926829268292683, 0.3047191318994215)","(0.04433497536945813, 1.079667063020214, 0.10582010582010581)"
81,"(0.8666666666666667, 0.2926829268292683, 0.3047191318994215)","(0.04433497536945813, 1.079667063020214, 0.10582010582010581)"
82,"(0.8666666666666667, 0.2926829268292683, 0.3047191318994215)","(0.04433497536945813, 1.079667063020214, 0.10582010582010581)"
83,"(0.864367816091954, 0.2891566265060241, 0.2922763406179244)","(0.046798029556650245, 1.1105826397146257, 0.10317460317460317)"
84,"(0.864367816091954, 0.2891566265060241, 0.2922763406179244)","(0.046798029556650245, 1.1105826397146257, 0.10317460317460317)"
85,"(0.864367816091954, 0.2891566265060241, 0.2922763406179244)","(0.046798029556650245, 1.1105826397146257, 0.10317460317460317)"
86,"(0.864367816091954, 0.2891566265060241, 0.2922763406179244)","(0.046798029556650245, 1.1105826397146257, 0.10317460317460317)"
87,"(0.864367816091954, 0.2891566265060241, 0.2922763406179244)","(0.046798029556650245, 1.1105826397146257, 0.10317460317460317)"
88,"(0.864367816091954, 0.2891566265060241, 0.2922763406179244)","(0.046798029556650245, 1.1105826397146257, 0.10317460317460317)"
