,Accuracy,Shape
1707,"(0.6939655172413793, 0.4453125, 0.23782323616506146)","(0.34236453201970446, 15.139120095124852, 0.43783068783068785)"
1708,"(0.6939655172413793, 0.4453125, 0.23782323616506146)","(0.34236453201970446, 15.139120095124852, 0.43783068783068785)"
1709,"(0.6939655172413793, 0.4453125, 0.23782323616506146)","(0.34236453201970446, 15.139120095124852, 0.43783068783068785)"
1710,"(0.6939655172413793, 0.4453125, 0.23782323616506146)","(0.34236453201970446, 15.139120095124852, 0.43783068783068785)"
1711,"(0.6939655172413793, 0.4453125, 0.23782323616506146)","(0.34236453201970446, 15.139120095124852, 0.43783068783068785)"
1712,"(0.6939655172413793, 0.4453125, 0.23782323616506146)","(0.34236453201970446, 15.139120095124852, 0.43783068783068785)"
1713,"(0.6939655172413793, 0.4453125, 0.23782323616506146)","(0.34236453201970446, 15.139120095124852, 0.43783068783068785)"
1714,"(0.6939655172413793, 0.4453125, 0.23782323616506146)","(0.34236453201970446, 15.139120095124852, 0.43783068783068785)"
1715,"(0.6939655172413793, 0.4453125, 0.23782323616506146)","(0.34236453201970446, 15.139120095124852, 0.43783068783068785)"
1716,"(0.6939655172413793, 0.4453125, 0.23782323616506146)","(0.34236453201970446, 15.139120095124852, 0.43783068783068785)"
1717,"(0.6918103448275862, 0.44357976653696496, 0.2346113484500343)","(0.3448275862068966, 15.467300832342454, 0.4351851851851852)"
1718,"(0.6918103448275862, 0.44357976653696496, 0.2346113484500343)","(0.3448275862068966, 15.467300832342454, 0.4351851851851852)"
1719,"(0.6918103448275862, 0.44357976653696496, 0.2346113484500343)","(0.3448275862068966, 15.467300832342454, 0.4351851851851852)"
1720,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1721,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1722,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1723,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1724,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1725,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1726,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1727,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1728,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1729,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1730,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1731,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1732,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1733,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1734,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1735,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1736,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1737,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1738,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1739,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1740,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1741,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1742,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1743,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1744,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1745,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1746,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1747,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1748,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1749,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1750,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1751,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1752,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1753,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1754,"(0.6918103448275862, 0.44357976653696496, 0.2346113484500343)","(0.3448275862068966, 15.467300832342453, 0.4351851851851852)"
1755,"(0.6918103448275862, 0.44357976653696496, 0.2346113484500343)","(0.3448275862068966, 15.467300832342453, 0.4351851851851852)"
1756,"(0.6918103448275862, 0.44357976653696496, 0.2346113484500343)","(0.3448275862068966, 15.467300832342453, 0.4351851851851852)"
1757,"(0.6918103448275862, 0.44357976653696496, 0.2346113484500343)","(0.3448275862068966, 15.467300832342453, 0.4351851851851852)"
1758,"(0.6918103448275862, 0.44357976653696496, 0.2346113484500343)","(0.3448275862068966, 15.467300832342453, 0.4351851851851852)"
1759,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.579072532699168, 0.43253968253968256)"
1760,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.785969084423305, 0.4708994708994709)"
1761,"(0.6875, 0.44015444015444016, 0.22824455596776455)","(0.3497536945812808, 15.888228299643284, 0.46825396825396826)"
1762,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.785969084423305, 0.4708994708994709)"
1763,"(0.6896551724137931, 0.4418604651162791, 0.2314185885682598)","(0.3472906403940887, 15.785969084423305, 0.4708994708994709)"
1764,"(0.6875, 0.44015444015444016, 0.22824455596776455)","(0.3497536945812808, 15.474435196195008, 0.46825396825396826)"
1765,"(0.6875, 0.44015444015444016, 0.22824455596776455)","(0.3497536945812808, 15.474435196195008, 0.46825396825396826)"
1766,"(0.6875, 0.44015444015444016, 0.22824455596776455)","(0.3497536945812808, 15.474435196195008, 0.46825396825396826)"
1767,"(0.6875, 0.44015444015444016, 0.22824455596776455)","(0.3497536945812808, 15.474435196195008, 0.46825396825396826)"
1768,"(0.6875, 0.44015444015444016, 0.22824455596776455)","(0.3497536945812808, 15.474435196195008, 0.46825396825396826)"
1769,"(0.6875, 0.44015444015444016, 0.22824455596776455)","(0.3497536945812808, 15.474435196195008, 0.46825396825396826)"
1770,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 15.99524375743163, 0.46296296296296297)"
1771,"(0.6896551724137931, 0.4461538461538462, 0.2358371588576079)","(0.3522167487684729, 15.84304399524376, 0.4656084656084656)"
1772,"(0.6896551724137931, 0.4461538461538462, 0.2358371588576079)","(0.3522167487684729, 15.84304399524376, 0.4656084656084656)"
