,Accuracy,Shape
0,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
6,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
7,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
8,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
9,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
10,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
11,"(0.8551724137931035, 0.03076923076923077, 0.11557186006424608)","(0.0024630541871921183, 0.06420927467300833, 0.03571428571428571)"
12,"(0.8551724137931035, 0.03076923076923077, 0.11557186006424608)","(0.0024630541871921183, 0.06420927467300833, 0.03571428571428571)"
13,"(0.8551724137931035, 0.03076923076923077, 0.11557186006424608)","(0.0024630541871921183, 0.06420927467300833, 0.03571428571428571)"
14,"(0.8551724137931035, 0.03076923076923077, 0.11557186006424608)","(0.0024630541871921183, 0.06420927467300833, 0.03571428571428571)"
15,"(0.8551724137931035, 0.03076923076923077, 0.11557186006424608)","(0.0024630541871921183, 0.06420927467300833, 0.03571428571428571)"
16,"(0.8551724137931035, 0.03076923076923077, 0.11557186006424608)","(0.0024630541871921183, 0.06420927467300833, 0.03571428571428571)"
17,"(0.8574712643678161, 0.06060606060606061, 0.16363191668205773)","(0.0049261083743842365, 0.1189060642092747, 0.03306878306878307)"
18,"(0.8574712643678161, 0.06060606060606061, 0.16363191668205773)","(0.0049261083743842365, 0.1189060642092747, 0.03306878306878307)"
19,"(0.8574712643678161, 0.06060606060606061, 0.16363191668205773)","(0.0049261083743842365, 0.1189060642092747, 0.03306878306878307)"
