,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
6,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
7,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
8,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
9,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
10,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
11,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
12,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
13,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
14,"(0.7521551724137931, 0.03361344537815126, 0.11330936783431826)","(0.0049261083743842365, 0.11890606420927476, 0.03306878306878307)"
15,"(0.7521551724137931, 0.03361344537815126, 0.11330936783431826)","(0.0049261083743842365, 0.11890606420927476, 0.03306878306878307)"
16,"(0.7521551724137931, 0.03361344537815126, 0.11330936783431826)","(0.0049261083743842365, 0.11890606420927476, 0.03306878306878307)"
17,"(0.7521551724137931, 0.03361344537815126, 0.11330936783431826)","(0.0049261083743842365, 0.11890606420927476, 0.03306878306878307)"
18,"(0.7521551724137931, 0.03361344537815126, 0.11330936783431826)","(0.0049261083743842365, 0.11890606420927476, 0.03306878306878307)"
