,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
6,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
7,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300831, 0.03571428571428571)"
8,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300831, 0.03571428571428571)"
9,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300831, 0.03571428571428571)"
10,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.1189060642092747, 0.03306878306878307)"
11,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.1189060642092747, 0.03306878306878307)"
12,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.1189060642092747, 0.03306878306878307)"
13,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.1189060642092747, 0.03306878306878307)"
14,"(0.7435344827586207, 0.01652892561983471, -0.00046280006529683605)","(0.009852216748768473, 0.2687277051129607, 0.06613756613756613)"
15,"(0.7413793103448276, 0.01639344262295082, -0.012535346902764736)","(0.012315270935960592, 0.43281807372175995, 0.06349206349206349)"
16,"(0.7392241379310345, 0.016260162601626018, -0.02253258015188983)","(0.014778325123152709, 0.4494649227110586, 0.06084656084656084)"
17,"(0.7392241379310345, 0.016260162601626018, -0.02253258015188983)","(0.014778325123152709, 0.4494649227110586, 0.06084656084656084)"
18,"(0.7392241379310345, 0.016260162601626018, -0.02253258015188983)","(0.014778325123152709, 0.4494649227110586, 0.06084656084656084)"
19,"(0.7392241379310345, 0.016260162601626018, -0.02253258015188983)","(0.014778325123152709, 0.4494649227110586, 0.06084656084656084)"
