,Accuracy,Shape
617,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
618,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
619,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
620,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
621,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
622,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
623,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
624,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
625,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
626,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
627,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
628,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
629,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
630,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
631,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
632,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
633,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
634,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
635,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
636,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
637,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
638,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
639,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
