,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
5,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
6,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
7,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
8,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
9,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
10,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
11,"(0.75, 0.01694915254237288, 0.0800352509513293)","(0.0024630541871921183, 0.0642092746730083, 0.03571428571428571)"
12,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.37098692033293684, 0.06878306878306878)"
13,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.37098692033293684, 0.06878306878306878)"
14,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.37098692033293684, 0.06878306878306878)"
15,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.37098692033293684, 0.06878306878306878)"
16,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.37098692033293684, 0.06878306878306878)"
17,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.37098692033293684, 0.06878306878306878)"
18,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.37098692033293684, 0.06878306878306878)"
19,"(0.75, 0.03333333333333333, 0.07700289528768538)","(0.007389162561576354, 0.37098692033293684, 0.06878306878306878)"
