,Accuracy,Shape
329,"(0.7823275862068966, 0.4419889502762431, 0.3434380631127831)","(0.15763546798029557, 4.4494649227110585, 0.13756613756613756)"
330,"(0.7823275862068966, 0.4419889502762431, 0.3434380631127831)","(0.15763546798029557, 4.4494649227110585, 0.13756613756613756)"
331,"(0.7823275862068966, 0.4419889502762431, 0.3434380631127831)","(0.15763546798029557, 4.4494649227110585, 0.13756613756613756)"
332,"(0.7823275862068966, 0.4419889502762431, 0.3434380631127831)","(0.15763546798029557, 4.4494649227110585, 0.13756613756613756)"
333,"(0.7823275862068966, 0.4419889502762431, 0.3434380631127831)","(0.15763546798029557, 4.4494649227110585, 0.13756613756613756)"
334,"(0.7823275862068966, 0.4419889502762431, 0.3434380631127831)","(0.15763546798029557, 4.4494649227110585, 0.13756613756613756)"
335,"(0.7823275862068966, 0.4419889502762431, 0.3434380631127831)","(0.15763546798029557, 4.4494649227110585, 0.13756613756613756)"
336,"(0.7823275862068966, 0.4419889502762431, 0.3434380631127831)","(0.15763546798029557, 4.4494649227110585, 0.13756613756613756)"
337,"(0.7823275862068966, 0.4419889502762431, 0.3434380631127831)","(0.15763546798029557, 4.4494649227110585, 0.13756613756613756)"
338,"(0.7823275862068966, 0.4419889502762431, 0.3434380631127831)","(0.15763546798029557, 4.4494649227110585, 0.13756613756613756)"
339,"(0.7801724137931034, 0.43956043956043955, 0.33760711247130815)","(0.16009852216748768, 4.939357907253271, 0.17328042328042328)"
340,"(0.7801724137931034, 0.43956043956043955, 0.33760711247130815)","(0.16009852216748768, 4.939357907253271, 0.17328042328042328)"
341,"(0.7801724137931034, 0.43956043956043955, 0.33760711247130815)","(0.16009852216748768, 4.939357907253271, 0.17328042328042328)"
342,"(0.7801724137931034, 0.43956043956043955, 0.33760711247130815)","(0.16009852216748768, 4.939357907253271, 0.17328042328042328)"
343,"(0.7801724137931034, 0.43956043956043955, 0.33760711247130815)","(0.16009852216748768, 4.939357907253271, 0.17328042328042328)"
344,"(0.7801724137931034, 0.43956043956043955, 0.33760711247130815)","(0.16009852216748768, 4.939357907253271, 0.17328042328042328)"
345,"(0.7823275862068966, 0.44808743169398907, 0.34608607927371454)","(0.1625615763546798, 4.9369797859690845, 0.17063492063492064)"
346,"(0.7823275862068966, 0.44808743169398907, 0.34608607927371454)","(0.1625615763546798, 4.9369797859690845, 0.17063492063492064)"
347,"(0.7844827586206896, 0.45652173913043476, 0.3544853750490992)","(0.16502463054187191, 5.407847800237814, 0.167989417989418)"
348,"(0.7844827586206896, 0.45652173913043476, 0.3544853750490992)","(0.16502463054187191, 5.407847800237814, 0.167989417989418)"
349,"(0.7844827586206896, 0.45652173913043476, 0.3544853750490992)","(0.16502463054187191, 5.407847800237814, 0.167989417989418)"
350,"(0.7844827586206896, 0.45652173913043476, 0.3544853750490992)","(0.16502463054187191, 5.407847800237814, 0.167989417989418)"
351,"(0.7844827586206896, 0.45652173913043476, 0.3544853750490992)","(0.16502463054187191, 5.407847800237814, 0.167989417989418)"
352,"(0.7844827586206896, 0.45652173913043476, 0.3544853750490992)","(0.16502463054187191, 5.407847800237814, 0.167989417989418)"
353,"(0.7844827586206896, 0.45652173913043476, 0.3544853750490992)","(0.16502463054187191, 5.407847800237814, 0.167989417989418)"
354,"(0.7844827586206896, 0.45652173913043476, 0.3544853750490992)","(0.16502463054187191, 5.407847800237814, 0.167989417989418)"
355,"(0.7844827586206896, 0.45652173913043476, 0.3544853750490992)","(0.16502463054187191, 5.407847800237814, 0.167989417989418)"
356,"(0.7844827586206896, 0.45652173913043476, 0.3544853750490992)","(0.16502463054187191, 5.407847800237814, 0.167989417989418)"
357,"(0.7844827586206896, 0.45652173913043476, 0.3544853750490992)","(0.16502463054187191, 5.407847800237814, 0.167989417989418)"
358,"(0.7844827586206896, 0.45652173913043476, 0.3544853750490992)","(0.16502463054187191, 5.407847800237814, 0.167989417989418)"
359,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
360,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
361,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
362,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
363,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
364,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
365,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
366,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
367,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
368,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
369,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
370,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
371,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
372,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
373,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
374,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
375,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
376,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
377,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
378,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
379,"(0.7844827586206896, 0.46236559139784944, 0.3571076229342863)","(0.16995073891625614, 5.631391200951249, 0.1626984126984127)"
380,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
381,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
382,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
383,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
384,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
385,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
386,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
387,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
388,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
389,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
390,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
391,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
392,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
393,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
394,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
395,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
396,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
397,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
398,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
399,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
400,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
401,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
402,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
403,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
404,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
405,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
406,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
407,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
408,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
409,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
410,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
411,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
412,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
413,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
414,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
415,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
416,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
417,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
418,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
419,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
420,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
421,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
422,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
423,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
424,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
425,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
426,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
