,Accuracy,Shape
0,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
4,"(0.8528735632183908, 0.0, 0)","(0.0, 0.0, 0.0)"
5,"(0.8551724137931035, 0.03076923076923077, 0.11557186006424608)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
6,"(0.8551724137931035, 0.03076923076923077, 0.11557186006424608)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
7,"(0.8574712643678161, 0.06060606060606061, 0.16363191668205773)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
8,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.16409036860879897, 0.03042328042328042)"
9,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.16409036860879897, 0.03042328042328042)"
10,"(0.8597701149425288, 0.08955223880597014, 0.20063916962768982)","(0.007389162561576354, 0.16409036860879897, 0.03042328042328042)"
11,"(0.8620689655172413, 0.11764705882352941, 0.2319467696354393)","(0.009852216748768473, 0.2687277051129607, 0.06613756613756613)"
12,"(0.864367816091954, 0.14492753623188406, 0.25962573689026663)","(0.012315270935960592, 0.29488703923900117, 0.06349206349206349)"
13,"(0.8689655172413793, 0.19718309859154928, 0.30791021949754777)","(0.017241379310344827, 0.4565992865636151, 0.0582010582010582)"
14,"(0.8689655172413793, 0.19718309859154928, 0.30791021949754777)","(0.017241379310344827, 0.4565992865636151, 0.0582010582010582)"
15,"(0.8689655172413793, 0.19718309859154928, 0.30791021949754777)","(0.017241379310344827, 0.4565992865636151, 0.0582010582010582)"
16,"(0.871264367816092, 0.2222222222222222, 0.3295550900487644)","(0.019704433497536946, 0.5921521997621878, 0.09391534391534391)"
