,Accuracy,Shape
1809,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.39476813317479, 0.3505291005291005)"
1810,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.39476813317479, 0.3505291005291005)"
1811,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.39476813317479, 0.3505291005291005)"
1812,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.39476813317479, 0.3505291005291005)"
1813,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1814,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1815,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.39476813317479, 0.3505291005291005)"
1816,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.39476813317479, 0.3505291005291005)"
1817,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.39476813317479, 0.3505291005291005)"
1818,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.39476813317479, 0.3505291005291005)"
1819,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1820,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1821,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1822,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1823,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1824,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1825,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1826,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1827,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1828,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1829,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1830,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1831,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1832,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
